CountyId,State,County,TotalPop,Men,Women,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001,California,Alameda County,1629615,799649,829966,85743,940,41363,335,11.3,13.0,826310,79.3,13.2,7.3,0.1,6.0
6003,California,Alpine County,1203,664,539,63438,4535,27448,6258,19.8,17.3,374,58.6,30.2,11.2,0.0,14.6
6005,California,Amador County,37306,20005,17301,60636,2765,29628,1631,10.6,20.3,13444,63.9,21.0,14.7,0.4,9.3
6007,California,Butte County,225207,111587,113620,46516,1130,26304,656,20.5,21.5,93439,72.8,17.2,9.7,0.4,9.1
6009,California,Calaveras County,45057,22292,22765,54800,3529,31652,1278,12.8,18.9,16721,67.6,18.2,13.7,0.4,7.1
6011,California,Colusa County,21479,11157,10322,56481,4858,25676,2010,14.0,20.7,9470,76.6,13.4,9.7,0.2,5.9
6013,California,Contra Costa County,1123678,548675,575003,88456,822,42898,416,9.8,12.4,535401,78.0,13.4,8.4,0.2,6.9
6015,California,Del Norte County,27442,15008,12434,41287,4114,20809,1306,23.2,31.2,8742,56.8,32.9,9.8,0.4,9.5
6017,California,El Dorado County,185015,92304,92711,74885,2565,38156,917,9.8,11.6,80373,72.0,16.8,11.1,0.2,8.1
6019,California,Fresno County,971616,484667,486949,48730,655,22234,215,25.4,36.5,392003,74.8,18.4,6.6,0.2,10.4
6021,California,Glenn County,27935,14213,13722,46260,3402,21029,967,19.6,25.5,10775,70.9,17.3,10.9,0.9,9.2
6023,California,Humboldt County,135490,67508,67982,43718,1579,25208,780,20.8,22.5,59592,63.6,21.5,14.5,0.4,8.9
6025,California,Imperial County,179957,91963,87994,44779,1850,17303,582,23.8,31.0,59757,67.9,26.2,5.7,0.2,16.0
6027,California,Inyo County,18195,9172,9023,51500,4578,30323,1140,10.2,13.3,8275,61.5,30.1,8.4,0.0,5.2
6029,California,Kern County,878744,450393,428351,50826,771,21716,280,22.6,31.3,335688,76.7,16.6,6.5,0.2,10.9
6031,California,Kings County,150183,82982,67201,49742,1744,19835,656,20.9,28.7,53158,70.2,24.5,5.2,0.2,9.7
6033,California,Lake County,64095,31788,32307,40446,2857,23345,1183,22.8,31.6,22691,68.3,20.0,11.4,0.3,11.2
6035,California,Lassen County,31470,20786,10684,54083,2927,20974,1015,14.6,20.7,9052,43.6,47.7,8.2,0.4,7.5
6037,California,Los Angeles County,10105722,4979641,5126081,61015,262,30798,129,17.0,24.0,4805817,79.3,11.2,9.3,0.2,7.8
6039,California,Madera County,154440,74583,79857,48210,2108,19975,565,22.1,31.5,56076,78.4,14.6,6.9,0.1,8.3
6041,California,Marin County,260814,127423,133391,104703,1763,66748,1603,8.1,9.7,130570,74.1,10.6,15.0,0.2,4.5
6043,California,Mariposa County,17658,8863,8795,51385,3637,28241,1665,15.1,17.5,7009,62.4,26.5,10.3,0.7,10.0
6045,California,Mendocino County,87497,43668,43829,46528,1787,27093,1426,19.1,24.4,37084,63.6,19.7,16.2,0.5,10.4
6047,California,Merced County,267390,135045,132345,46338,1301,20120,574,23.3,33.4,99026,76.6,16.6,6.7,0.1,14.6
6049,California,Modoc County,9017,4659,4358,39296,4907,22052,1610,18.1,20.4,3231,58.3,29.2,11.9,0.5,7.5
6051,California,Mono County,14058,7433,6625,60595,6356,30888,2023,9.9,12.0,7864,75.2,15.3,8.3,1.2,3.6
6053,California,Monterey County,433168,221016,212152,63249,1209,27168,479,14.7,21.6,182439,76.6,15.0,8.2,0.2,6.0
